32	6155	7599
2048	14446	18330
32	6119	7553
2048	14230	18204
32	6112	7588
2048	14033	18336
32	6131	7441
2048	13945	18192
32	6092	7477
2048	14126	18131
32	2261	2529
2048	6004	7022
32	2252	2516
2048	6000	7037
32	2254	2524
2048	5999	7013
32	2251	2523
2048	6000	6990
32	2257	2526
2048	6005	7021
32	6579	7553
2048	16590	18293
32	6618	7697
2048	16639	18391
32	8434	9901
2048	16573	18290
32	6512	7357
2048	16670	18087
32	6556	7504
2048	16728	18157
32	1995	2163
2048	13952	15796
32	1987	2145
2048	13870	15608
32	1990	2159
2048	13868	15695
32	1985	2148
2048	14070	15821
32	1988	2146
2048	13884	15441
